2,2,0,3,4,1,0,3,2,2,10,0,0,0.66667,0.66667,0,0,4,1,0.5,0
10,1,0,4,37,0,0,4,9,0.38889,278,1,0,0,0.34,0,0,26.6,5,1.6,0
27,1,0,1,43,13,1,0,13,0.60096,1174,1,0,0,0.25309,0,0,42.185,26,5.7407,0
1,1,0,21,1,0,20,1,1,2,1,0,0,0,1,0,0,0,1,1,3
3,1,2,19,4,3,18,1,3,2,7,0,0,0,1,0,0,1.3333,1,0.6667,1
2,3,0,8,8,1,2,6,0,2,61,0,0,0.95238,0.58333,1,1,29.5,1,0.5,1
7,2,0,6,30,1,1,5,7,0,373,1,0,0.14286,0.31429,1,1,51.571,12,3.5714,0
1,1,0,5,2,0,4,1,1,2,16,0,1,0,1,0,0,12,0,0,6
9,2,3,4,14,0,3,1,6,0.575,204,0.8,0,0.61905,0.41667,1,4,21.111,2,1,3
6,1,0,8,29,0,2,6,0,0.43636,383,0.72727,5,0,0.47917,0,0,61,1,0.6667,2
15,2,1,19,50,0,2,18,13,0.47619,557,1,1,0.61111,0.25185,1,5,35.933,6,1.2667,3
5,4,0,2,18,0,1,1,4,0.55,380,0.4,1,0.86667,0.4,1,1,74,14,4.8,1
17,2,0,12,55,12,3,10,13,0.625,404,1,0,0.42857,0.15882,2,4,22.529,7,2.0588,1
14,1,1,18,17,91,18,0,14,2,189,0,0,0,0.29762,0,0,12.5,1,0.9286,1
2,2,0,6,4,1,4,2,0,2,39,0,0,0.91667,0.66667,1,3,18.5,4,2,0
6,2,0,4,10,15,1,3,6,2,31,0,0,0.61538,0.66667,1,3,4.1667,1,0.8333,0
1,2,0,14,2,0,11,3,0,2,11,0,1,1,1,0,0,9,0,0,0
12,3,0,7,46,0,1,7,12,0.61364,343,1,0,0.59259,0.20833,2,2,27.25,7,1.75,1
14,1,0,23,35,0,22,1,14,0.5,341,0.5,0,0,0.42857,0,0,23.214,5,2.5714,1
1,1,0,3,1,0,3,0,0,2,87,0,0,0,0,0,0,68,0,0,0
36,1,0,5,52,282,1,4,7,0.7203,2855,0.21053,1,0,0.40571,0,0,77.778,102,7.0556,4
2,3,0,8,11,0,2,6,0,0,106,1,0,0.95238,0.57143,1,1,51.5,1,0.5,1
6,1,5,25,8,15,24,1,6,2,21,0,0,0,0.58333,0,0,2.5,1,0.8333,0
6,2,0,12,12,1,1,11,6,0.64,173,1,6,0.92157,0.35,0,0,26.167,6,1.5,0
15,1,0,13,54,41,2,11,10,0.80476,675,0.53333,5,0,0.23704,0,0,43,3,1.2,0
