10,1,0,4,10,45,2,2,10,2,10,0,0,0,0.27143,0,0,0,1,1,0
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0
12,5,0,14,67,60,4,13,5,0.76136,772,1,0,0.97699,0.35,0,0,62,1,0.9167,0
2,1,0,1,2,1,1,0,2,2,2,0,0,0,1,0,0,0,1,1,0
4,1,0,8,22,4,1,7,3,0.83333,125,1,2,0,0.5,0,0,29.75,1,0.75,0
1,1,0,0,2,0,0,0,0,2,4,0,0,0,1,0,0,3,0,0,0
13,5,0,7,60,74,3,6,8,0.84167,478,0.9,1,0.97495,0.29231,0,0,35,2,1,0
21,1,0,5,50,210,4,2,20,1.05,370,0,0,0,0.29932,0,0,16.524,8,2.619,1
2,6,0,7,25,1,1,6,1,0,198,1,7,0.99769,1,0,0,93,1,0.5,1
8,6,0,8,48,18,3,7,4,0.78571,306,1,3,0.98357,0.40625,0,0,36.5,5,1.375,2
5,1,0,2,16,10,1,1,5,2,182,0,0,0,0.9,0,0,35.4,1,0.8,0
2,1,0,3,2,1,3,0,2,2,2,0,0,0,1,0,0,0,1,1,0
1,3,0,5,2,0,5,0,1,2,5,0,0,1,1,0,0,4,0,0,0
8,5,0,8,60,22,3,7,1,0.57143,258,1,2,0.98523,0.5,0,0,30.75,4,1.25,0
4,2,0,25,7,4,25,0,2,0.91667,56,0.25,4,0.84615,0.44444,1,1,12,1,0.5,0
3,1,0,4,3,3,3,1,3,2,3,0,0,0,0.66667,0,0,0,1,1,0
30,1,0,10,53,333,5,6,24,0.84483,994,0.75,1,0,0.23563,0,0,31.867,19,1.9,1
2,1,0,6,30,0,1,5,2,0,162,1,3,0,0.6,0,0,78.5,8,4,0
1,3,0,6,2,0,6,0,0,2,5,0,0,1,1,0,0,4,0,0,0
2,1,0,1,5,1,0,1,2,2,13,0,0,0,0.5,0,0,5.5,1,0.5,0
3,1,0,15,46,0,1,14,2,0.5,575,1,0,0,0.66667,0,0,190,1,0.3333,0
1,3,0,5,2,0,5,0,0,2,5,0,0,1,1,0,0,4,0,0,0
19,1,0,17,57,123,1,16,11,0.82222,606,1,1,0,0.23392,0,0,30.368,1,0.9474,0
4,1,0,7,23,6,1,7,4,1.3333,261,1,0,0,0.6875,0,0,64,1,0.75,0
29,5,0,10,109,318,7,7,8,0.76374,1541,1,1,0.94534,0.21429,0,0,51.241,16,3.1034,0
4,1,0,5,32,6,2,3,3,2,526,0,0,0,0.41667,0,0,130.5,1,0.75,0
17,1,0,3,25,44,2,2,15,0.675,177,1,2,0,0.3,1,1,9.1176,6,1.1176,0
1,3,0,3,2,0,3,0,1,2,4,0,0,1,1,0,0,3,0,0,0
4,1,0,2,10,4,1,1,3,0.66667,323,1,0,0,0.75,0,0,79.5,1,0.75,0
12,5,0,11,67,48,4,10,5,0.77512,1410,1,0,0.97699,0.33333,0,0,113.33,3,1.3333,0
2,1,0,5,2,1,2,3,2,2,2,0,0,0,0.625,0,0,0,1,1,0
9,1,0,8,27,28,1,7,4,0.75,315,1,1,0,0.45,0,0,33.778,1,0.7778,1
5,2,0,1,8,6,1,0,3,0.93182,139,0.18182,10,0.78571,0.41667,1,1,24.6,1,0.6,0
4,1,0,3,22,6,1,3,4,2,174,0,0,0,0.875,0,0,42.5,1,0.75,0
9,1,0,5,9,36,2,3,9,2,9,0,0,0,0.36111,0,0,0,1,1,0
11,1,0,1,12,25,1,0,11,0.8,69,1,0,0,0.43182,0,0,4.8182,1,0.9091,0
11,1,0,8,53,0,7,2,9,0.64,501,0.6,1,0,0.38571,0,0,44.091,3,1.0909,1
15,5,0,9,80,91,4,8,3,0.84762,1172,1,2,0.97089,0.24762,0,0,76.133,3,1.4,1
11,5,0,5,61,19,2,3,5,0.675,599,1,0,0.97904,0.27273,0,0,52.364,7,1.4545,1
6,2,0,6,26,3,3,5,6,0.7,85,1,2,0.64286,0.28571,0,0,12.833,1,0.8333,2
3,1,0,5,3,3,2,3,3,2,3,0,0,0,0.66667,0,0,0,1,1,0
11,2,0,4,30,31,2,2,8,0.73333,797,1,0,0.64,0.57576,1,1,71.182,29,5.2727,0
7,1,0,2,7,21,2,0,7,2,7,0,0,0,0.42857,0,0,0,1,1,0
16,1,0,12,74,68,1,11,12,0.81667,1356,1,2,0,0.1875,0,0,83.25,5,1.3125,0
23,1,0,12,40,7,11,3,21,0.96257,427,0.26471,2,0,0.22078,1,1,16.087,14,1.6087,0
